imsi_prefix,date,Incoming data,Outgoing data,cdrs
64602-SMM - Madagascar-MDGAN,11-05-2018,13,1,1
64804-Econet-ZWEET,11-05-2018,70,15,155
65202-Orange Botswana-BWAVC,11-05-2018,8,2,3
65501-Vodacom South Africa-ZAFVC,11-05-2018,22,0,3
65507-Cell C-ZAFCC,11-05-2018,16,2,3
65510-MTN South Africa-ZAFMN,11-05-2018,461,240,2650
71030-Telefonica Nicaragua-NICMS,11-05-2018,0,0,1
71402-Telefonica Moviles-PANMS,11-05-2018,0,0,1
72207-Argentina Telefonica-ARGTM,11-05-2018,72,60,87
72234-Personal Telecom-ARGTP,11-05-2018,911,374,479
72402-TIM Region 2 Rio Norte-BRARN,11-05-2018,334,44,427
72403-TIM Region 3 Sau Paulo-BRASP,11-05-2018,226,73,439
72404-TIM Region 1 Cellular Centro-BRACS,11-05-2018,194,47,344
72406-Vivo 2-BRAV2,11-05-2018,206,271,37
72410-Vivo 1-BRAV1,11-05-2018,498,229,130
72411-Vivo 3-BRAV3,11-05-2018,99,30,101
72423-Telemig - Brazil-BRATC,11-05-2018,27,2,24
72431-TNL (Oi)-BRATM,11-05-2018,36,14,16
73001-Entel Telefonia Movil -CHLMV,11-05-2018,247,51,72
73212-Telefonica Moviles-COLTM,11-05-2018,153,71,44
73602-Entel Bolivia -BOLME,11-05-2018,1,0,4
73801-Digicel Guyana-GUYUM,11-05-2018,1,0,41
74801-Antel-URYAN,11-05-2018,70,16,30
90131-Orange France-AAZOR,11-05-2018,3,3,16
90137-Transatel-AAZTR,11-05-2018,2057,1567,103
90140-Telekom Deutschland Global SIM-AAZTD,11-05-2018,8,6,19
20201-Cosmote Mobile Telecom-GRCCO,12-05-2018,163983,31295,22406
20205-Vodafone Greece-GRCPF,12-05-2018,962,118,302
20210-Stet Hellas Telecommunications-GRCSH,12-05-2018,32877,6824,3416
20404-Vodafone Netherlands-NLDLT,12-05-2018,18294,8830,679351
20408-KPN Tel Netherlands -NLDPT,12-05-2018,1032482,191873,814474
20412-Telfort-NLDTM,12-05-2018,9718,1552,1481
20416-T-Mobile Netherlands-NLDPN,12-05-2018,1250321,212762,75482
20420-Orange Netherlands-NLDDT,12-05-2018,25,29,14
20601-Belgacom Mobile -BELTB,12-05-2018,59389,16831,12398
20610-Mobistar-BELMO,12-05-2018,351735,67726,97620
20620-Base-BELKO,12-05-2018,21313,3923,3182
20801-Orange France-FRAF1,12-05-2018,4877585,619689,528579
20810-SFR France-FRAF2,12-05-2018,0,0,57
20815-Free Mobile -FRAF5,12-05-2018,2,0,12
20815-France Free Mobile-FRAFM,12-05-2018,2,0,12
20820-Bouygues Telecom-FRAF3,12-05-2018,1297624,168173,103572
21401-Vodafone Espaqa-ESPAT,12-05-2018,21662,3402,4823
21403-Amena-ESPRT,12-05-2018,1892037,277736,149956
21404-Xfera Moviles-ESPXF,12-05-2018,440918,62510,21918
21407-Telefonica Moviles-ESPTE,12-05-2018,82880,16708,94666
21421-Jazztel Spain -ESPJZ,12-05-2018,21063,2683,2518
21601-Pannon GSM-HUNH1,12-05-2018,96491,14493,8197
21630-Westel 900 GSM-HUNH2,12-05-2018,232188,40499,19579
21670-Vodafone Hungary-HUNVR,12-05-2018,360,57,146
21901-HT Mobile-HRVCN,12-05-2018,79887,11373,5546
21910-VIP Net GSM -HRVVI,12-05-2018,116,18,59
22001-Mobtel-YUGMT,12-05-2018,11,3,14
22003-Telekom Srbija-YUGTS,12-05-2018,70,12,46
22201-TIM Italy -ITASI,12-05-2018,738684,98393,69236
22210-Vodafone Omnitel-ITAOM,12-05-2018,26993,4943,5683
22288-Wind Italy-ITAWI,12-05-2018,700501,97080,80032
22299-Hutchinson 3G - Italy-ITAH3,12-05-2018,34283,6163,5600
22601-Mobifon -ROMMF,12-05-2018,9129,981,1727
22603-Cosmorom-ROMCS,12-05-2018,192938,32811,14881
22610-Orange Romania-ROMMR,12-05-2018,741444,132028,47021
22801-Swisscom-CHEC1,12-05-2018,330073,70482,36843
22802-sunrise-CHEDX,12-05-2018,46786,10536,10395
22803-Orange Switzerland-CHEOR,12-05-2018,94719,23608,10451
23001-T-Mobile Czech-CZERM,12-05-2018,230290,37160,17252
23002-Eurotel Praha -CZEET,12-05-2018,855,473,447
23003-Cesky Mobil -CZECM,12-05-2018,10933,1705,1052
23101-Orange Slovakia-SVKGT,12-05-2018,86892,13635,6944
23102-Eurotel Bratislava-SVKET,12-05-2018,76442,11768,6269
23106-Telefonica o2-SVKO2,12-05-2018,635,109,357
23201-Mobilkom Austria-AUTPT,12-05-2018,1157,338,3110
23203-T-Mobile Austria-AUTMM,12-05-2018,204912,38915,653361
23205-Connect -AUTCA,12-05-2018,4452,608,1080
23207-Tele Ring Telekom -AUTTR,12-05-2018,62521,11388,7703
23401-MCOM UK-GBRYC,12-05-2018,5273981,465799,179081
23403-Airtel-GBRAJ,12-05-2018,198,37,123
23418-Cloud 9-GBRC9,12-05-2018,250,31,87
23450-Jersey Telecoms -GBRJT,12-05-2018,8444,9178,214731
23455-Guernsey Telecom-GBRGT,12-05-2018,805,204,1973
23458-Manx Telecom-GBRMT,12-05-2018,15678,5601,206116
23801-Tele Danmark Mobil-DNKTD,12-05-2018,593821,91496,28955
23802-Sonofon -DNKDM,12-05-2018,275555,42479,232014
23806-Hi3G - Denmark-DNKHU,12-05-2018,372,187,175
23820-Telia Mobile (Denmark)-DNKIA,12-05-2018,345228,50116,17591
24001-Telia Mobitel (Sweden)-SWETR,12-05-2018,1142877,180951,67324
24002-HI 3G-SWEHU,12-05-2018,785,174,177
24007-Tele2 AB-SWEIQ,12-05-2018,594080,88165,114524
24008-Vodafone Sweden-SWEEP,12-05-2018,247543,34274,341052
24042-Sweden Telenor-SWECN,12-05-2018,60,96,97096
24201-Telenor Mobil -NORTM,12-05-2018,1312302,210502,136320
24202-NetCom-NORNC,12-05-2018,570391,100716,51722
24205-Telia Norge Norway-NORNN,12-05-2018,112458,18626,25567
24405-Radiolinja Finland-FINRL,12-05-2018,3500,547,677
24412-Finnish 2G-FIN2G,12-05-2018,16139,2536,17294
24421-Elisa (2nd code)-FINES,12-05-2018,272,107,38
24491-Sonera Corporation-FINTF,12-05-2018,327703,51828,15588
24601-Omnitel Lithuania-LTUOM,12-05-2018,89647,13992,8746
24602-Bite GSM-LTUMT,12-05-2018,74,55,17
24603-Tele2-LTU03,12-05-2018,126018,21948,15474
24701-Latvian Mobile Telephone-LVALM,12-05-2018,106521,16754,7630
24702-Baltcom GSM -LVABC,12-05-2018,62226,7569,5905
24801-Estonian Mob Tel-ESTEM,12-05-2018,67671,9199,3691
24802-Radiolinja Estonia-ESTRE,12-05-2018,1161,102,131
24803-Estonia Ritabell (Tele2)-ESTRB,12-05-2018,23405,3281,16897
25001-MTS-RUS01,12-05-2018,11207,2300,1567
25002-MegaFon -RUSNW,12-05-2018,3811,1273,576
25099-VimpelCom-RUSBD,12-05-2018,20707,5558,12907
25501-Ukraine Mobile Communications-UKRUM,12-05-2018,39,5,10
25503-Kyvistar GSM-UKRKS,12-05-2018,9775,2543,2043
25506-Astelit LLC-UKRAS,12-05-2018,3280,561,611
25901-Voxtel-MDAVX,12-05-2018,25,8,10
26001-Polkomtel -POLKM,12-05-2018,287658,34341,20351
26002-Era -POL02,12-05-2018,461907,64644,38318
26003-PTK Centeltel -POL03,12-05-2018,755314,104446,79410
26006-P4 - 3G Poland-POLP4,12-05-2018,5,5,858
26201-T-Mobile Germany-DEUD1,12-05-2018,1652529,345309,881222
26202-Vodafone Germany-DEUD2,12-05-2018,8442,2196,4818
26203-Eplus -DEUE1,12-05-2018,17017,4602,8030
26207-O2 Germany-DEUE2,12-05-2018,60729,11232,16089
26601-Gibtel Telecommunications -GIBGT,12-05-2018,3520,2525,499
26801-Vodafone Portugal-PRTTL,12-05-2018,4411,728,990
26803-Optimus -PRTOP,12-05-2018,167403,38607,10721
26806-TMN-PRTTM,12-05-2018,123773,19475,15498
27001-Luxembourg P&T-LUXPT,12-05-2018,88802,13524,50317
27077-Tango -LUXTG,12-05-2018,6154,1789,749
27099-VOX Mobile - Luxembourg-LUXVM,12-05-2018,26303,3951,4773
27201-Vodafone Ireland-IRLEC,12-05-2018,4302,2528,30586
27202-O2 Ireland-IRLDF,12-05-2018,19415,2966,118189
27203-Meteor-IRLME,12-05-2018,1018120,125382,56395
27401-Landssimi Islands -ISLPS,12-05-2018,2016,343,351
27402-TAL -ISLTL,12-05-2018,5825,1177,1202
27404-IMC - Iceland-ISLVW,12-05-2018,0,0,1
27411-Nova Iceland-ISLK9,12-05-2018,14188,2189,1729
27411-Nova Efh-ISLNO,12-05-2018,14188,2189,1729
27601-AMC (Albanian Mobile) -ALBAM,12-05-2018,118,17,185
27801-Vodafone Malta-MLTTL,12-05-2018,814,105,424
27821-Go Mobile -MLTGO,12-05-2018,8282,1791,1306
