imsi_prefix,date,Incoming data,Records count 
46697-Taiwan Cellular Corp-TWNPC,19-05-2018,1071,72                             
47001-GrameenPhone-BGDGP,19-05-2018,1,2                                         
50216-DiGi Telecommunications -MYSMT,19-05-2018,7108,3480                       
50219-Celcom-MYSCC,19-05-2018,39,5                                              
50501-Telstra -AUSTA,19-05-2018,141236,25301                                    
50502-Optus Communications-AUSOP,19-05-2018,39817,18256                         
51001-PT Satelindo Palapa-IDNSL,19-05-2018,73,14                                
51010-PT Telkomsel-IDNTS,19-05-2018,3931,318                                    
51502-Globe Telecom -PHLGT,19-05-2018,1081,60                                   
52000-Thailand, True Move-THACT,19-05-2018,32,164                               
52003-AIS-THAWN,19-05-2018,156420,7528                                          
52005-Thailand DTAC-THADT,19-05-2018,2117,207                                   
52018-Total Access Communications-THAWP,19-05-2018,32,2                         
52501-Singtel GSM 900-SGPST,19-05-2018,36723,3257                               
52505-StarHub-SGPSH,19-05-2018,5580,375                                         
52811-DST Communications-BRNDS,19-05-2018,3,2                                   
53001-Vodafone New Zealand-NZLBS,19-05-2018,1191,334                            
53005-Telecom-NZLTM,19-05-2018,16356,3760                                       
53024-NZ Communications-NZLNH,19-05-2018,1188,311                               
60201-Mobilnil-EGYAR,19-05-2018,2379,558                                        
60203-Etisalat - Egypt-EGYEM,19-05-2018,271,20                                  
60400-Medi Telecom-MARMT,19-05-2018,489,3215                                    
60401-IAM-MARM1,19-05-2018,6,15                                                 
60501-Orange Tunisia-TUNOR,19-05-2018,0,1                                       
60502-Tunisie Telecom-TUNTT,19-05-2018,6,16                                     
60801-Sonatel-SENAZ,19-05-2018,7,3                                              
61203-Orange Cote d'Ivoire-CIV03,19-05-2018,5,3                                 
61701-Cellplus Mobile Communications-MUSCP,19-05-2018,1,11                      
62001-Scancom -GHASC,19-05-2018,268,135                                         
62006-Airtel Ghana-GHAZN,19-05-2018,3,84                                        
62130-MTN-NGAMN,19-05-2018,1407,2496                                            
62150-Globacom - Nigeria-NGAGM,19-05-2018,94,19                                 
62160-Etisalat Nigeria-NGAEM,19-05-2018,450,6409                                
62402-Orange Cameroon-CMR02,19-05-2018,1,3                                      
63102-Unitel-AGOUT,19-05-2018,36,28                                             
63510-Rwandacell - Rwanda-RWAMN,19-05-2018,5,78                                 
63902-Safaricom -KENSA,19-05-2018,329,191                                       
63903-KenCell -KENKC,19-05-2018,3,7                                             
64005-Celtel Tanzania-TZACT,19-05-2018,4,195                                    
64101-Celtel Uganda-UGACE,19-05-2018,6,316                                      
64110-MTN-UGAMN,19-05-2018,0,2                                                  
64304-Vodacom-MOZVC,19-05-2018,2,2                                              
64804-Econet-ZWEET,19-05-2018,24,22                                             
65202-Orange Botswana-BWAVC,19-05-2018,2,74                                     
65501-Vodacom South Africa-ZAFVC,19-05-2018,22,3                                
65510-MTN South Africa-ZAFMN,19-05-2018,1044,2512                               
70604-Telefonica - EL SALVADOR-SLVTS,19-05-2018,2,5                             
71401-Cable & Wireless-PANCW,19-05-2018,33,4                                    
72207-Argentina Telefonica-ARGTM,19-05-2018,304,41                              
72234-Personal Telecom-ARGTP,19-05-2018,1526,316                                
72402-TIM Region 2 Rio Norte-BRARN,19-05-2018,435,492                           
72403-TIM Region 3 Sau Paulo-BRASP,19-05-2018,1058,490                          
72404-TIM Region 1 Cellular Centro-BRACS,19-05-2018,638,255                     
72406-Vivo 2-BRAV2,19-05-2018,29,35                                             
72410-Vivo 1-BRAV1,19-05-2018,472,168                                           
72411-Vivo 3-BRAV3,19-05-2018,134,77                                            
72423-Telemig - Brazil-BRATC,19-05-2018,39,25                                   
72431-TNL (Oi)-BRATM,19-05-2018,3,1                                             
73001-Entel Telefonia Movil -CHLMV,19-05-2018,415,81                            
73212-Telefonica Moviles-COLTM,19-05-2018,337,26                                
73801-Digicel Guyana-GUYUM,19-05-2018,5,4                                       
74801-Antel-URYAN,19-05-2018,20,18                                              
74807-Telefonica Moviles-URYTM,19-05-2018,12,8                                  
90131-Orange France-AAZOR,19-05-2018,0,1                                        
90137-Transatel-AAZTR,19-05-2018,3437,102                                       
90140-Telekom Deutschland Global SIM-AAZTD,19-05-2018,7,6                       
20201-Cosmote Mobile Telecom-GRCCO,20-05-2018,160381,18727                      
20205-Vodafone Greece-GRCPF,20-05-2018,695,184                                  
20210-Stet Hellas Telecommunications-GRCSH,20-05-2018,31481,3551                
20404-Vodafone Netherlands-NLDLT,20-05-2018,28445,683759                        
20408-KPN Tel Netherlands -NLDPT,20-05-2018,675371,738508                       
20412-Telfort-NLDTM,20-05-2018,13016,1491                                       
20416-T-Mobile Netherlands-NLDPN,20-05-2018,1228797,61961                       
20420-Orange Netherlands-NLDDT,20-05-2018,161,19                                
20601-Belgacom Mobile -BELTB,20-05-2018,61919,10061                             
20610-Mobistar-BELMO,20-05-2018,351271,73321                                    
20620-Base-BELKO,20-05-2018,13524,1516                                          
20801-Orange France-FRAF1,20-05-2018,4805936,489636                             
20810-SFR France-FRAF2,20-05-2018,0,15                                          
20815-Free Mobile -FRAF5,20-05-2018,17819,3079                                  
20815-France Free Mobile-FRAFM,20-05-2018,17819,3079                            
20820-Bouygues Telecom-FRAF3,20-05-2018,1393457,97646                           
21401-Vodafone Espaqa-ESPAT,20-05-2018,23633,4317                               
21403-Amena-ESPRT,20-05-2018,2140244,139820                                     
21404-Xfera Moviles-ESPXF,20-05-2018,440006,20744                               
21407-Telefonica Moviles-ESPTE,20-05-2018,104143,93870                          
21421-Jazztel Spain -ESPJZ,20-05-2018,24778,2083                                
21601-Pannon GSM-HUNH1,20-05-2018,124961,8482                                   
21630-Westel 900 GSM-HUNH2,20-05-2018,351383,23797                              
21670-Vodafone Hungary-HUNVR,20-05-2018,948,216                                 
21901-HT Mobile-HRVCN,20-05-2018,97528,5082                                     
21910-VIP Net GSM -HRVVI,20-05-2018,276,45                                      
22003-Telekom Srbija-YUGTS,20-05-2018,128,19                                    
22201-TIM Italy -ITASI,20-05-2018,856728,66778                                  
22210-Vodafone Omnitel-ITAOM,20-05-2018,33050,5404                              
22288-Wind Italy-ITAWI,20-05-2018,835973,78093                                  
22299-Hutchinson 3G - Italy-ITAH3,20-05-2018,33742,5334                         
22601-Mobifon -ROMMF,20-05-2018,13511,1765                                      
22603-Cosmorom-ROMCS,20-05-2018,276954,13100                                    
22610-Orange Romania-ROMMR,20-05-2018,980263,51027                              
22801-Swisscom-CHEC1,20-05-2018,493765,34631                                    
22802-sunrise-CHEDX,20-05-2018,63403,10007                                      
22803-Orange Switzerland-CHEOR,20-05-2018,127053,10352                          
23001-T-Mobile Czech-CZERM,20-05-2018,326306,16927                              
23002-Eurotel Praha -CZEET,20-05-2018,2539,337                                  
23003-Cesky Mobil -CZECM,20-05-2018,8408,1011                                   
23101-Orange Slovakia-SVKGT,20-05-2018,87696,5993                               
23102-Eurotel Bratislava-SVKET,20-05-2018,84391,5552                            
23106-Telefonica o2-SVKO2,20-05-2018,918,251                                    
23201-Mobilkom Austria-AUTPT,20-05-2018,116450,11372                            
23203-T-Mobile Austria-AUTMM,20-05-2018,223286,584136                           
23205-Connect -AUTCA,20-05-2018,2905,671                                        
23207-Tele Ring Telekom -AUTTR,20-05-2018,77935,7272                            
23403-Airtel-GBRAJ,20-05-2018,1143,126                                          
23418-Cloud 9-GBRC9,20-05-2018,0,22                                             
23450-Jersey Telecoms -GBRJT,20-05-2018,23781,217175                            
23455-Guernsey Telecom-GBRGT,20-05-2018,605,1819                                
23458-Manx Telecom-GBRMT,20-05-2018,19910,214239                                
23801-Tele Danmark Mobil-DNKTD,20-05-2018,564703,25061                          
23802-Sonofon -DNKDM,20-05-2018,320197,221616                                   
23806-Hi3G - Denmark-DNKHU,20-05-2018,600,187                                   
23820-Telia Mobile (Denmark)-DNKIA,20-05-2018,409703,17831                      
24001-Telia Mobitel (Sweden)-SWETR,20-05-2018,925925,40665                      
24002-HI 3G-SWEHU,20-05-2018,599,119                                            
24007-Tele2 AB-SWEIQ,20-05-2018,536743,100139                                   
24008-Vodafone Sweden-SWEEP,20-05-2018,309093,314793                            
24010-Tele2-SWESM,20-05-2018,2,3                                                
24042-Sweden Telenor-SWECN,20-05-2018,124,86162                                 
24201-Telenor Mobil -NORTM,20-05-2018,1249215,133137                            
24202-NetCom-NORNC,20-05-2018,554905,53100                                      
24205-Telia Norge Norway-NORNN,20-05-2018,128251,29523                          
24405-Radiolinja Finland-FINRL,20-05-2018,2449,539                              
24412-Finnish 2G-FIN2G,20-05-2018,20405,12574                                   
24421-Elisa (2nd code)-FINES,20-05-2018,2526,70                                 
24491-Sonera Corporation-FINTF,20-05-2018,306788,11483                          
24601-Omnitel Lithuania-LTUOM,20-05-2018,80817,7099                             
24602-Bite GSM-LTUMT,20-05-2018,4,12                                            
24603-Tele2-LTU03,20-05-2018,154378,13464                                       
24701-Latvian Mobile Telephone-LVALM,20-05-2018,111167,15588                    
24702-Baltcom GSM -LVABC,20-05-2018,63416,5109                                  
24801-Estonian Mob Tel-ESTEM,20-05-2018,74228,4346                              
24802-Radiolinja Estonia-ESTRE,20-05-2018,1366,166                              
24803-Estonia Ritabell (Tele2)-ESTRB,20-05-2018,36578,17668                     
25001-MTS-RUS01,20-05-2018,15283,1465                                           
25002-MegaFon -RUSNW,20-05-2018,4913,849                                        
25099-VimpelCom-RUSBD,20-05-2018,26446,13090                                    
25501-Ukraine Mobile Communications-UKRUM,20-05-2018,21,11                      
25503-Kyvistar GSM-UKRKS,20-05-2018,11260,2246                                  
25506-Astelit LLC-UKRAS,20-05-2018,940,172                                      
25901-Voxtel-MDAVX,20-05-2018,119,38                                            
26001-Polkomtel -POLKM,20-05-2018,367287,21096                                  
26002-Era -POL02,20-05-2018,614364,39719                                        
26003-PTK Centeltel -POL03,20-05-2018,1008164,87336                             
26006-P4 - 3G Poland-POLP4,20-05-2018,100,3431                                  
26201-T-Mobile Germany-DEUD1,20-05-2018,2211790,899385                          
26202-Vodafone Germany-DEUD2,20-05-2018,13240,5347                              
26203-Eplus -DEUE1,20-05-2018,22673,8845                                        
26207-O2 Germany-DEUE2,20-05-2018,70523,18421                                   
26601-Gibtel Telecommunications -GIBGT,20-05-2018,3061,376                      
26801-Vodafone Portugal-PRTTL,20-05-2018,5928,803                               
26803-Optimus -PRTOP,20-05-2018,156159,8426                                     
26806-TMN-PRTTM,20-05-2018,136842,11510                                         
27001-Luxembourg P&T-LUXPT,20-05-2018,99643,42652                               
27077-Tango -LUXTG,20-05-2018,7399,929                                          
27099-VOX Mobile - Luxembourg-LUXVM,20-05-2018,43737,6121                       
27201-Vodafone Ireland-IRLEC,20-05-2018,4870,26509                              
27202-O2 Ireland-IRLDF,20-05-2018,19190,124320                                  
27203-Meteor-IRLME,20-05-2018,1093670,53029                                     
27401-Landssimi Islands -ISLPS,20-05-2018,3397,330                              
27402-TAL -ISLTL,20-05-2018,3160,694                                            
27404-IMC - Iceland-ISLVW,20-05-2018,2,9                                        
27411-Nova Iceland-ISLK9,20-05-2018,23116,1811                                  
27411-Nova Efh-ISLNO,20-05-2018,23116,1811                                      
27601-AMC (Albanian Mobile) -ALBAM,20-05-2018,1794,416                          
